TABLE	NV3_DUAL_EX_BP_V2_004781				
WAVE	0.647	1.00E+00	1.00E+00	6.12E-13	6.12E-13
WAVE	0.648	1.00E+00	1.00E+00	1.06E-12	1.06E-12
WAVE	0.649	1.00E+00	1.00E+00	8.02E-13	8.02E-13
WAVE	0.65	1.00E+00	1.00E+00	1.20E-12	1.20E-12
WAVE	0.651	1.00E+00	1.00E+00	1.04E-11	1.04E-11
WAVE	0.652	1.00E+00	1.00E+00	7.65E-12	7.65E-12
WAVE	0.653	1.00E+00	1.00E+00	2.11E-12	2.11E-12
WAVE	0.654	1.00E+00	1.00E+00	5.74E-12	5.74E-12
WAVE	0.655	1.00E+00	1.00E+00	4.14E-12	4.14E-12
WAVE	0.656	1.00E+00	1.00E+00	3.78E-13	3.78E-13
WAVE	0.657	1.00E+00	1.00E+00	1.51E-13	1.51E-13
WAVE	0.658	1.00E+00	1.00E+00	1.22E-13	1.22E-13
WAVE	0.659	1.00E+00	1.00E+00	1.98E-13	1.98E-13
WAVE	0.66	1.00E+00	1.00E+00	1.47E-12	1.47E-12
WAVE	0.661	1.00E+00	1.00E+00	1.02E-12	1.02E-12
WAVE	0.662	1.00E+00	1.00E+00	1.49E-13	1.49E-13
WAVE	0.663	1.00E+00	1.00E+00	8.49E-14	8.49E-14
WAVE	0.664	1.00E+00	1.00E+00	9.77E-14	9.77E-14
WAVE	0.665	1.00E+00	1.00E+00	2.52E-13	2.52E-13
WAVE	0.666	1.00E+00	1.00E+00	8.65E-12	8.65E-12
WAVE	0.667	1.00E+00	1.00E+00	6.15E-13	6.15E-13
WAVE	0.668	1.00E+00	1.00E+00	2.83E-13	2.83E-13
WAVE	0.669	1.00E+00	1.00E+00	7.31E-13	7.31E-13
WAVE	0.67	1.00E+00	1.00E+00	1.43E-12	1.43E-12
WAVE	0.671	1.00E+00	1.00E+00	7.64E-14	7.64E-14
WAVE	0.672	1.00E+00	1.00E+00	2.51E-14	2.51E-14
WAVE	0.673	1.00E+00	1.00E+00	1.56E-14	1.56E-14
WAVE	0.674	1.00E+00	1.00E+00	1.59E-14	1.59E-14
WAVE	0.675	1.00E+00	1.00E+00	2.86E-14	2.86E-14
WAVE	0.676	1.00E+00	1.00E+00	1.87E-13	1.87E-13
WAVE	0.677	1.00E+00	1.00E+00	2.55E-13	2.55E-13
WAVE	0.678	1.00E+00	1.00E+00	3.00E-14	3.00E-14
WAVE	0.679	1.00E+00	1.00E+00	1.57E-14	1.57E-14
WAVE	0.68	1.00E+00	1.00E+00	1.62E-14	1.62E-14
WAVE	0.681	1.00E+00	1.00E+00	3.42E-14	3.42E-14
WAVE	0.682	1.00E+00	1.00E+00	6.51E-13	6.51E-13
WAVE	0.683	1.00E+00	1.00E+00	8.49E-14	8.49E-14
WAVE	0.684	1.00E+00	1.00E+00	1.94E-14	1.94E-14
WAVE	0.685	1.00E+00	1.00E+00	1.31E-14	1.31E-14
WAVE	0.686	1.00E+00	1.00E+00	1.84E-14	1.84E-14
